design_no,laminate_code,page_no,assigned_value,finish_name,laminate
7041,HD,,7041,,vibrant
7042,HD,,7042,,vibrant
7043,HD,,7043,,vibrant
7044,HD,,7044,,
7045,HD,,7045,,
7046,HD,,7046,,
7047,HD,,7047,,
7048,HD,,7048,,
7049,HD,,7049,,
7050,HD,,7050,,
7051,HD,,7051,,
7052,HD,,7052,,
56,HRD,70,56,,horizontalwood exoticwood
57,HRD,70,57,,horizontalwood exoticwood
421,HRD,72,421,matt,horizontalwood
422,HRD,72,422,matt,horizontalwood
423,HRD,72,423,matt,horizontalwood
457,HRD,72,457,matt,horizontalwood exoticwood
458,HRD,72,458,matt,horizontalwood exoticwood
558,HRD,,558,,
559,HRD,,559,,
560,HRD,,560,,
903 (2),HRD,72,9031,matt,horizontalwood
904 (2),HRD,72,9041,matt,horizontalwood
905 (3),HRD,72,9051,matt,horizontalwood
979,HRD,71,979,,horizontalwood
980,HRD,71,980,matt,
1338,HT,58,1338,,verticalwood exoticwood
1339,HT,58,1339,,verticalwood exoticwood
1340,HT,58,1340,,verticalwood exoticwood
1365 (2),HT,30,13651,,exoticwood
1378,HT,58,1378,,verticalwood exoticwood
1428,HT,58,1428,,verticalwood
1433 (2),HTR,55,14332,,verticalwood horizontalwoodorizontalwood exoticwood
1434 (2),HTR,55,14342,,horizontalwood exoticwood
1435 (2),HTR,55,14352,,horizontalwood exoticwood
1618,HTR,54,1618,,horizontalwood exoticwood
1619 (3),HTR,54,16191,,horizontalwood exoticwood
1161 (3),IB,36,11613,matt,stone solidcolor vibrant
1614,IB,36,1614,matt,stone vibrant
1629,IB,36,1629,matt,stone vibrant
1630 (2),IB,36,16302,matt,stone vibrant
408,JD,72,408,,horizontalwood
409,JD,72,409,,horizontalwood
1645,JT,37,1645,matt,fabric vibrant
1646,JT,37,1646,matt,fabric vibrant
1647,JT,37,1647,matt,fabric vibrant
1648,JT,37,1648,matt,fabric vibrant
48 (3),JW,67,48200,matt,verticalwood
58 (2),JW,67,581,matt,verticalwood
59,JW,67,59,,verticalwood
60 (2),JW,67,60100,matt,verticalwood
1321,KP,56,1321,,verticalwood
